word,difficulty_0_100,level,letters,syllables,tags
reuse,21.326601488987773,easy,5,1,prefix
redo,21.326601488987773,easy,4,2,prefix
return,24.20435726269262,easy,6,2,prefix
unfair,24.20435726269262,easy,6,2,prefix
reheat,24.20435726269262,easy,6,2,prefix
unsafe,24.20435726269262,easy,6,2,prefix
replay,24.20435726269262,easy,6,2,prefix
prefix,24.20435726269262,easy,6,2,prefix
unlock,24.20435726269262,easy,6,2,prefix
cube,24.52410790421538,easy,4,1,math
mean,24.52410790421538,easy,4,1,math
angle,24.52410790421538,easy,5,2,math
sum,24.52410790421538,easy,3,1,math
mode,24.52410790421538,easy,4,1,math
range,24.52410790421538,easy,5,1,math
time,24.52410790421538,easy,4,1,math
prime,24.52410790421538,easy,5,1,math
event,24.52410790421538,easy,5,2,math
value,24.52410790421538,easy,5,1,math
root,24.52410790421538,easy,4,1,math
mass,24.52410790421538,easy,4,1,math
area,24.52410790421538,easy,4,2,math
axis,24.52410790421538,easy,4,2,math
chart,24.52410790421538,easy,5,1,math
lungs,24.52410790421538,easy,5,1,science
acute,24.52410790421538,easy,5,2,math
width,24.52410790421538,easy,5,1,math
force,24.52410790421538,easy,5,1,science
push,24.52410790421538,easy,4,1,science
pull,24.52410790421538,easy,4,1,science
place,24.52410790421538,easy,5,1,math
arc,24.52410790421538,easy,3,1,math
cell,24.52410790421538,easy,4,1,science
bulb,24.52410790421538,easy,4,1,science
motor,24.52410790421538,easy,5,2,science
pitch,24.52410790421538,easy,5,1,science
sound,24.52410790421538,easy,5,1,science
light,24.52410790421538,easy,5,1,science
table,24.52410790421538,easy,5,2,math
prism,24.52410790421538,easy,5,1,science
ratio,24.52410790421538,easy,5,2,math
right,24.52410790421538,easy,5,1,math
odour,26.122861111829188,easy,5,2,uk_our
litre,26.122861111829188,easy,5,1,uk_re
fibre,26.122861111829188,easy,5,1,uk_re
sabre,26.122861111829188,easy,5,1,uk_re
metre,26.122861111829188,easy,5,1,uk_re
misread,27.08211303639747,easy,7,2,prefix
nonstop,27.08211303639747,easy,7,2,prefix
rebuild,27.08211303639747,easy,7,2,prefix
mislead,27.08211303639747,easy,7,2,prefix
replace,27.08211303639747,easy,7,2,prefix
mishear,27.08211303639747,easy,7,2,prefix
preheat,27.08211303639747,easy,7,2,prefix
preview,27.08211303639747,easy,7,2,prefix
prepare,27.08211303639747,easy,7,2,prefix
predict,27.08211303639747,easy,7,2,prefix
prevent,27.08211303639747,easy,7,2,prefix
dislike,27.08211303639747,easy,7,2,prefix
trident,27.08211303639747,easy,7,2,prefix
hydrant,27.08211303639747,easy,7,2,prefix
rewrite,27.08211303639747,easy,7,2,prefix
obtuse,27.401863677920232,easy,6,2,math
median,27.401863677920232,easy,6,2,math
magnet,27.401863677920232,easy,6,2,science
radius,27.401863677920232,easy,6,2,math
solute,27.401863677920232,easy,6,2,science
length,27.401863677920232,easy,6,1,math
square,27.401863677920232,easy,6,1,math
factor,27.401863677920232,easy,6,2,math
method,27.401863677920232,easy,6,2,science
switch,27.401863677920232,easy,6,1,science
divide,27.401863677920232,easy,6,2,math
degree,27.401863677920232,easy,6,1,math
absorb,27.401863677920232,easy,6,2,science
